ticket,category
Computer is not starting,IT Support
WiFi is not working,IT Support
College website is not opening,IT Support
I forgot my student portal password,IT Support
Exam timetable is not available,Examination
I have a problem with my exam form,Examination
When will the semester exam start,Examination
I need my exam hall ticket,Examination
I want to pay my college fees,Fees
My fee payment is not updated,Fees
I need information about tuition fees,Fees
How can I get a fee receipt,Fees
I want to take admission in college,Admission
What documents are required for admission,Admission
Tell me about the admission process,Admission
When is the admission last date,Admission
How can I apply for scholarship,Scholarship
I need scholarship information,Scholarship
What documents are needed for scholarship,Scholarship
My scholarship application status is pending,Scholarship
I want to issue a library book,Library
How many books can I borrow,Library
I lost my library book,Library
What are the library timings,Library
